id,object,result_position,cid,internal_review_id,is_user_local_guide,lang,origin,place_id,place_name,published_at,published_at_datetime,pictures,place_average_score,review_link,response_from_owner,score,text,total_likes,total_reviews,user_name,user_link,user_internal_id,user_reviews_count,user_image_url,visited_in,zero_x,collected_at,input_url,input_sort_by,input_language
"8083020","result","1","9232192468922247655","ChdDSUhNMG9nS0VJQ0FnSURBaTQzeGlBRRAB","t","en","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","7 years ago","2016-05-12 12:52:26.665+00","","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBaTQzeGlBRRAB!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgIDAi43xiAE%7CCgwIivnRuQUQwLCMvQI%7C?hl=en","","2","I was here when I was a kid. The service was not good","0","226","Klaus R.V. N","https://www.google.com/maps/contrib/116787192095096838938?hl=en","116787192095096838938","192","https://lh3.googleusercontent.com/a-/ALV-UjVXeKQbmvjUwm_bHEtezmTPDNA4u9vI1r-deL0Mh8wwgksdI1bU=s120-c-rp-mo-ba4-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:11.76214+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
"8083021","result","2","9232192468922247655","ChdDSUhNMG9nS0VJQ0FnSURlZzhXeTVBRRAB","t","en","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","a year ago","2022-10-18 01:23:40.409109+00","","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURlZzhXeTVBRRAB!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgIDeg8Wy5AE%7CCgwInIC4mgYQiISKwwE%7C?hl=en","","5","ok","0","226","Nguyen Thanh Tuyen","https://www.google.com/maps/contrib/103622394335962110872?hl=en","103622394335962110872","18","https://lh3.googleusercontent.com/a-/ALV-UjXCRYAyhF4mLEw1VnNHMhz3gkOSY98A7eFmym6Zy0Hoo1B4e6ZLYA=s120-c-rp-mo-ba3-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:12.303157+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
"8083022","result","3","9232192468922247655","ChZDSUhNMG9nS0VJQ0FnSUN3dUlQQ01nEAE","f","en","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","7 years ago","2017-04-13 00:32:07.014+00","","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN3dUlQQ01nEAE!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgICwuIPCMg%7CCgsIh467xwUQgL_WBg%7C?hl=en","","3","good","1","226","Phúc Hoàng Kim","https://www.google.com/maps/contrib/113810672838590182369?hl=en","113810672838590182369","9","https://lh3.googleusercontent.com/a-/ALV-UjXGoD35lnqqwR3IGG1alypSg6Vj3mzpXIlLGhKlkPsAx5Hd05bbxA=s120-c-rp-mo-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:12.648752+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
"8083023","result","4","9232192468922247655","ChdDSUhNMG9nS0VJQ0FnSURNeHNYMjB3RRAB","t","en","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","4 years ago","2019-12-28 10:19:40.621641+00","","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURNeHNYMjB3RRAB!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgIDMxsX20wE%7CCgwIvNic8AUQqPq1qAI%7C?hl=en","","5","Ok.","0","226","NguyenSondigital NguyenSondigital","https://www.google.com/maps/contrib/114709755277586658927?hl=en","114709755277586658927","146","https://lh3.googleusercontent.com/a-/ALV-UjVhtUn9q7q41NE4nIrlEQDkX2CTwFEPhYXyOgscdCMF6YcMS5oy9g=s120-c-rp-mo-ba6-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:12.962106+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
"8083024","result","5","9232192468922247655","ChdDSUhNMG9nS0VJQ0FnSURBMU5Xdm13RRAB","f","en","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","7 years ago","2016-06-16 01:45:11.023+00","","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBMU5Xdm13RRAB!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgIDA1NWvmwE%7CCgsIp4mIuwUQwOf7Cg%7C?hl=en","","5","ok","0","226","Hoang Long","https://www.google.com/maps/contrib/109729609731068671154?hl=en","109729609731068671154","169","https://lh3.googleusercontent.com/a-/ALV-UjWlvpaEwXR9T1-XpcSWu1g5smC5rVXYO2rwN1l-JiHY8NTXi7Ea5Q=s120-c-rp-mo-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:13.300541+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
"8083025","result","6","9232192468922247655","ChdDSUhNMG9nS0VJQ0FnSUNncjhDNHJBRRAB","t","en","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","8 years ago","2016-03-23 16:17:50.189+00","","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNncjhDNHJBRRAB!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgICgr8C4rAE%7CCgsIroPLtwUQwNKPWg%7C?hl=en","","3","Good","1","226","Ngô Ngọc Đức","https://www.google.com/maps/contrib/103107459095649218401?hl=en","103107459095649218401","107","https://lh3.googleusercontent.com/a-/ALV-UjX9jSxNmba4ZE7OhgKbMCCsYJ3Z5aeQ33T8vY3qnmogNwaeKyAM=s120-c-rp-mo-ba4-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:13.646623+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
"8083026","result","7","9232192468922247655","ChdDSUhNMG9nS0VJQ0FnSURRZ0xmYTZnRRAB","f","en","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","10 years ago","2014-03-25 10:28:00.416747+00","","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURRZ0xmYTZnRRAB!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgIDQgLfa6gE%7CCgwIsLTFmQUQ-JvcxgE%7C?hl=en","","5","Ok","1","226","Và Biển TV Ty","https://www.google.com/maps/contrib/111518466891778598098?hl=en","111518466891778598098","1","https://lh3.googleusercontent.com/a-/ALV-UjXL8j1QRsC6Q5D3j77awSmffrrHw9PcuvZqnu3f2TKfKi2uUfxL=s120-c-rp-mo-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:14.055014+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
"8083027","result","8","9232192468922247655","ChZDSUhNMG9nS0VJQ0FnSUMxc1p5YU1BEAE","f","vi","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","4 months ago","2023-12-31 16:16:12.499648+00","https://lh5.googleusercontent.com/p/AF1QipPHz3d1Y8fAViOzVjPYdpCY0WargFfUQH8_u-D9, https://lh5.googleusercontent.com/p/AF1QipOXnigodXDg4NX07L1LN03ly4oxtkPxmgPP8s36, https://lh5.googleusercontent.com/p/AF1QipO8lD9V5C3ZoqkmY2BrDJru2W0Q4EhPluCW7dXc","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxc1p5YU1BEAE!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgIC1sZyaMA%7CCgwI2afGrAYQ4LWnqQI%7C?hl=en","","1","Profession: yes Attitude: not good, pushing, blaming each other, in the emergency room, nurses have attitudes and discriminate against patients (November 31, 2023). It's really bad, you guys are doctors and nurses at a long-standing hospital in Thuan An, I wonder why you have such a poor attitude and way of talking??? Where are the hospital traditions? I have seen specialists at the hospital but this is the first time I have been to the emergency room and received these attitudes?? I also paid the money without a single complaint?? I admire you very much for being able to do a noble profession. Normally my family goes to Becamex but today Mrs I was afraid of spending too much money so I wanted to go to this hospital but it was really bad. I hope the hospital will review these cases. I hope that individuals do not affect the reputation of the entire hospital!!!","2","226","Duyên Cao Kiều","https://www.google.com/maps/contrib/111716014892976873619?hl=en","111716014892976873619","3","https://lh3.googleusercontent.com/a-/ALV-UjXBmQzYtcUjW2knihiLMx-YRJfv8g0qudu-K3wOcwtYItpsw_q4=s120-c-rp-mo-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:14.388209+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
"8083028","result","9","9232192468922247655","ChdDSUhNMG9nS0VJQ0FnSUNsOGNqV3NnRRAB","t","vi","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","5 months ago","2023-11-21 02:32:20.314531+00","https://lh5.googleusercontent.com/p/AF1QipP8BjdbcVXqoIfxcBy3rACcUXuMQ4gcbChO9K66, https://lh5.googleusercontent.com/p/AF1QipM0yBWwSkcSHDsVfN3e1OA1KRrfoDmSJgoXlAjm, https://lh5.googleusercontent.com/p/AF1QipMSPLr6eHzmqTGc1I6k-Lq4ZEuiR-XGaUWHJbFL","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsOGNqV3NnRRAB!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgICl8cjWsgE%7CCgsI7a3wqgYQ6K_4GQ%7C?hl=en","","1","Professional nurses are too numb. Typing prescriptions back and forth makes many patients wait. Internal medicine clinic 8 November 21, 2023","2","226","phan ngoc","https://www.google.com/maps/contrib/114161940724762410633?hl=en","114161940724762410633","16","https://lh3.googleusercontent.com/a/ACg8ocLNvtUU1BSbc7_MVEYTiEj_YT44TFBB01ER5w6gS9eiN-vweQ=s120-c-rp-mo-ba2-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:14.766545+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
"8083029","result","10","9232192468922247655","ChZDSUhNMG9nS0VJQ0FnSUQ5bVl5cVNnEAE","f","vi","Google","ChIJd2RYi73XdDER56kl4CJWH4A","Thuan An General Hospital","a month ago","2024-03-18 14:25:39.306867+00","","2.5","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ5bVl5cVNnEAE!2m1!1s0x0:0x801f5622e025a9e7!3m1!1s2@1:CIHM0ogKEICAgID9mYyqSg%7CCgsI9t3hrwYQuMr2UA%7C?hl=en","","1","The delivery room service is terrible. The delivery nurse is unprofessional and threatens to kick the pregnant woman out if she continues to cry and scream until she gives birth. She waits a long time before being seen. In general, if you intend to give birth in this hospital, you should avoid it. I'm so frustrated that I'm here to assess the birth but they push the baby and they sit and press the phone until the baby comes out and then it feels better. I don't know if it's ethical or not. It's not until I got back that I heard Vk tell me about it. Done with me, where's my friend? I touched things that day. I don't know if I'll even give you money, but now it's really spicy February 5, 2024, 7:00 p.m","1","226","An Nguyenthanh","https://www.google.com/maps/contrib/103775611679004023680?hl=en","103775611679004023680","1","https://lh3.googleusercontent.com/a/ACg8ocLBY2ayGp61gI2aEj9Ft8m-UNoPRcRhH4JPMwlQg-Jlx6iWvg=s120-c-rp-mo-br100",,"0x0:0x801f5622e025a9e7","2024-05-06 09:17:15.186111+00","https://www.google.com/maps/place/Thuan+An+General+Hospital/@10.9087251,106.6302833,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d7bd8b586477:0x801f5622e025a9e7!8m2!3d10.9087251!4d106.7023811!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkRYMUJVUlVwbkVBReABAA!16s%2Fg%2F1hc1t7vlm?entry=ttu","most_relevant","English (United States)"
